Source	GeneSetID	GeneList	n_Genes	LLM Name	LLM_best_matching_GO	best_matching_GO_ID	best_matching_GO_term_genes	best_matching_GO_term_size	Supporting Count	LLM_JI
L1000	BRD-A41304429_Practolol_MCF7_6.0_h_10.0_um	BASP1 BIK CST3 CYP2E1 ENTPD1 FUCA1 ISG15 KDM5D LRIG1 MICAL2 MTCL1 PDE8B RASA1 S100P UGP2 1060P11.3 ASPH CPNE3 CTNND1 CXCL14 DHCR24 DST DYNLT3 GLS HPRT1 IGJ IGKC IGL LYPLA1 MAN1A1 NOV NRIP1 PAICS PEG10 PLAT PODXL RPS11 S100A9 SEPP1 SGCE SGK1 SLC16A3 SLPI SMC1A SPARC TOP2A TRAM1 UCHL1	48	System of unrelated proteins						
L1000	BRD-A41450521_Tosufloxacin hydrochloride_MCF7_6.0_h_10.0_um	ADM ARMCX1 ASCL1 BCL11A CA2 CHST1 EPB41L2 FARP1 FGFR2 GUCY1A3 HLA-B HLA-C IGFBP5 KCNS3 KIT LOC100505650 MAN1A1 PEG10 RGS5 RNASE1 SGK1 VPS28 WFDC1 1060P11.3 BHLHE41 C3ORF14 C8ORF4 CDC42 CXCL13 DDX3Y EIF5 GAS1 GNA11 GPR64 GPX3 IFRD2 IRS2 KRT7 MALT1 ME1 MMP7 MSRB2 MT1G MT1HL1 MT1X MT2A NEBL NKX3-1 NUCKS1 PAN2 PKIG RASA1 SKP1 SLC6A14 STXBP2 TFPI2 TSPAN8	57	System of unrelated proteins						
L1000	BRD-A41519720_EZETIMIBE_MCF7_6.0_h_10.0_um	1060P11.3 AREG ARL4C ASNS BMP4 CAV1 CBS CD200 CPE CXCL11 CXCL9 DDIT4 DPYSL2 DPYSL3 EFNB2 ENPP2 EPAS1 EREG FAM129A FRZB GLS GUCY1A3 HIST1H2BD INSIG1 NPTX2 PCK2 PGK1 RGS5 SLC38A1 TES TMEM176B TSC22D3 XIST BASP1 CXCL1 CXCL8 GOLGA8A HOXC6 KIAA0485 LTBP3 PI3 SLC4A4 SLPI TCN1	44	Cellular Stress Response and Metabolic Regulation	regulation of cellular response to stress	GO:0080135	TAF6L TWIST1 IER5 MID1 PPP1R10 BOK MBTD1 TAF9 DUSP10 PRKDC TMEM33 TAF10 DUSP19 ABCD1 MAPKAPK2 EIF2AK1 TRAF4 H2AX PDX1 YBX3 ZNF622 AGER POT1 TRIAP1 BABAM2 SFRP2 EP300 ACTB PTPN22 SH3RF3 MORF4L2 PRRX1 TIRAP INO80B DDX11 ING4 TPD52L1 SPRED2 SMARCD1 APP BID LYN SIRT1 SCARF1 TERF2 TADA1 ERCC1 SH3RF2 PRDX1 TLR9 TNR VDAC1 EIF2AK2 TNF PCNA GSK3B WNT16 TELO2 WAS PTPN2 PTPRS RAD9A ACTL6A CCDC117 EPC2 RASGRP1 MAPK1 HSPA5 NFE2L2 NCOA7 F2RL1 PTK2B MANF SNAI1 EYA1 MAP2K2 SERINC3 TOP2B NCOR1 PTPN1 KAT2B ZBTB7B NPPA AQP11 SPIRE2 NFRKB DYRK1A TIGAR AGR2 ATM YY1 LTBR PPP4R3B CD44 RNF185 SOX4 FOXO1 MAP3K3 ADCY8 IL26 BRCA2 RIF1 TAF5 TNFRSF19 VPS72 SNAI2 EDAR HSF1 AXIN1 KAT7 FAM168A MAPKBP1 SMYD2 MAD2L2 WNT7B PARP1 HELB CORO2B PRKN HDAC10 PARP3 PMAIP1 ETAA1 TMEM161A RTCA EFHD1 DUSP16 DDRGK1 INO80D SIRT6 GADD45A DVL3 NOD1 YEATS4 TMBIM6 GRN PPP4R2 NCF1 FUT8 USP15 COPS5 UNC5CL SH3RF1 NOD2 SLC7A11 CRY1 SF3B3 RAD52 DDAH1 MORF4L1 TAF2 BAX VHL MAPT BDKRB2 SMARCA4 KLHL31 TAF12 ERCC8 BCL2 PER1 HIPK3 PHLPP1 MYC USP22 RADX ATF6 NUDT16L1 TBC1D24 BRD8 DAB2IP WRAP53 EYA2 MBTPS2 ERCC4 TERF2IP MAP2K1 TFIP11 CCR7 XBP1 WFS1 TNIK MAGEA3 BMP2 FGF10 TRIM28 RNF13 UFL1 KHDC3L SEMA4C RNF8 SUPT3H KMT5C GRIK2 DHX9 RAP2A CYLD HYOU1 RELL1 HAPSTR1 HDAC6 ENY2 TADA3 PNKP DDX39B NCK1 CD36 TNFSF11 SMARCD2 MTURN ZNF675 FKTN TTI1 MUC1 MYD88 BABAM1 TAOK2 IGFBP6 RNFT1 INO80 ING2 DLG1 SLC25A14 ITCH RUVBL2 EZR UCHL5 INSIG2 ERCC6 HDGFL2 HDAC3 OTUB1 BCL7C BCL2L1 UBXN2A HIPK2 ACTR8 SELENOS BCAP31 BMP7 CDC42 DUSP22 SMARCD3 NUPR1 SMARCE1 PIK3CB SGTA RMI2 RTEL1 HIC1 PINK1 PML PSMD10 MAPK3 FBH1 SGF29 RNFT2 MEAK7 INO80C NR1H2 PDCD10 KAT5 ARID2 ROCK2 MAP3K5 PDCD4 TAF7 BCL7B HMGB1 MAP2K4 ATR BRD7 SEMA3A NBR1 KDM1A GDF6 ZMPSTE24 CAV1 PTPRF SPRING1 DMAP1 ING3 CARD9 BFAR MAP3K11 KAT2A SPRED1 DPF3 RACK1 USP19 STK25 OXR1 SPIDR RNF168 PYHIN1 FICD EIF4G1 HAND2 TMX1 CUL4A ARL6IP5 MAP4K4 TPT1 ZC3H12A TGFB2 DPF1 HGF MAGEF1 MBIP PTTG1IP EYA3 FECH OOEP DPF2 TIFAB ACKR3 MAPK8IP3 ATAD5 DEK CD27 FAS DNAJA1 CXCL12 IGBP1 RASSF2 PEDS1-UBE2V1 DACT1 FZD7 EYA4 UBE2V1 FCGR2B SLAMF1 TLR4 CLN3 EGFR CEBPG TREM2 OPRK1 CCL19 OPRM1 FLNA PBRM1 TTI2 TAOK3 RECQL5 TRAF2 CGAS CD74 TGFBR3 LETM1 USP51 AMBP XDH EPC1 BARD1 SPP1 ARID1A PPP4C CHCHD2 PTGS2 CREB3L1 TLR3 FBLN5 IL1B AUNIP SUPT7L UBE2V2 PTN PRMT1 NAIP FZD10 SPHK1 TRIM32 BRAF WDR76 RELL2 DUSP3 ATF6B MAPK8IP2 CYREN AIFM2 SENP3 DNAJB9 BRCC3 ZMYND11 KREMEN1 NPM1 RFWD3 MIF THOC1 PYCARD SASH1 MARVELD3 RPS3 STK24 DVL2 TP53 USP14 DNAJC7 WNT7A ARID1B GREM1 BCL2L11 MECOM LEP BAD PNPLA8 NACC2 TADA2B DNMT3A DDX5 ANKRD1 MAP3K20 KMT5B TMEM259 ARHGEF2 SERPINF2 PLA2R1 SPIRE1 KDM4D IGF1R FEM1B SLF1 ABL1 PIGBOS1 SHLD1 GSTP1 KLHDC10 STK39 VPS13C INPP5F USP1 PPP1R15B FANCB RNASEH2B BMP4 MRNIP RGMA SLC38A2 KLHL15 ACTL6B DDIAS EDA2R RPA2 PPP1R15A DNAJB6 TAF5L EPHA4 INSIG1 SERPINB3 CDK9 PUM2 COPS3 UBXN1 CCAR2 SKIL GRINA MRGBP DUSP1 TAF9B PARPBP PIAS4 AJUBA PJA2 SIRT7 ZCWPW1 HNRNPK STUB1 OTUB2 SDCBP CREBBP RTN4RL1 PIK3R1 NPAS2 NSD2 PLCB1 THOC5 UBE2N ACTR2 MARCHF7 MAP3K4 PHF10 USP47 CHORDC1 TP53BP1 CRHBP MAP4K2 RIPK2 CDKN2D CCL21 FBXO4 PPIA KLF4 SLC25A23 ERP29 DNAJC2 POLQ SETMAR RAD51 SLF2 THY1 INO80E ZNF365 ABRAXAS1 LPCAT3 RB1CC1 TAF6 RIPK1 DKK1 SMARCB1 BAK1 SF3B5 CLU MFHAS1 GADD45G KCNK2 FGF19 QARS1 MCRS1 PBK YJU2 OPA1 PAGE4 CREB3 RNF169 FUS SYVN1 HELQ ALOX5 PARK7 MEAF6 MSX1 ZNHIT1 LRIG2 RUVBL1 MAP3K10 HERPUD1 AMFR TAOK1 TFPT ACTR5 MEN1 CHEK1 UIMC1 UBQLN1 CBX8 EIF2AK3 BCL7A SMARCC1 CNTF XRCC1 MAPKAP1 GCH1 ABCA7 SMARCC2 DRD2 MGMT RTN4R DHFR CRK TXNDC12 RAD51AP1 ULK4 OGG1 FLT4 SMARCA2 FMN2 MAP2K7 CERS2 STK3 NOL3 ATXN7 INAVA XIAP MDFIC PARG PAFAH1B1 ENO1 NR1H3 WDR48 BRCA1 SPI1 MINK1 FOXM1 LRRK2 FKBP1B SIRPA NOX1 FIGNL1 EEF1E1 TAF4 TRPV4 MTOR MDM2 AIDA FBXW7 ATRIP ATXN3 HRAS SMCHD1 NCK2 GADD45B ERN1 UBQLN2 PHF13 GPS2 EPO KIAA0319 KMT5A IER3 MICU1 SCIMP LGALS9 TMED2 CCN2 ANKRD6 DYRK3 PRKCG WNT5A SUPT20H USP25 NEO1 SHLD2 TRRAP BIRC7 BAG6 POLH VEGFA RPL26 HMGA2 TIMELESS SVIP MAPK8IP1 EPHB1 IL1A CAV3 NRK ELL3 RNF183 EP400 ZNF385A UBQLN4 USP13 DNAJB1 SETD2 AXIN2	646	18.0	0.026200873362445413
L1000	BRD-A41692738_S1169_MCF7_6.0_h_10.0_um	1060P11.3 ARHGAP29 CCNG2 CLC FAM63A HIST1H1C JAG1 PCK2 PDCD4 TSPAN1 TXNIP C14ORF2 CCT2 GUCY1A3 GUCY1B3 HAL HSPA1A JMJD6 PPIF	19	System of unrelated proteins						
L1000	BRD-A41941932_-666_MCF7_6.0_h_10.0_um	1060P11.3 ADAM9 ADH1B APOB ARMCX2 CD24 CD40 CYTIP DKK1 DLK1 DPYD EPHA3 GIMAP6 LPAR6 MDFIC PEG10 REG3A SAMSN1 SLAMF7 TRIL TRPS1 AQP3 ATP1B1 CXCL8 NR4A2 RPS4Y1 SEL1L3	27	System of unrelated proteins						
L1000	BRD-A42628519_-666_MCF7_6.0_h_10.0_um	ACTG2 CCNA1 CLEC2B COL15A1 FAM129A FST G0S2 GJA1 GPNMB LAMC1 MME PLIN1 SRGN SYNM THBD C9ORF16 CAST CNPY3 CTTN LOC100505650 PRKCH TPD52L1 ZMAT3	23	System of unrelated proteins						
L1000	BRD-A42737819_-666_MCF7_6.0_h_10.0_um	1060P11.3 AKR1B1 ALDH1A2 ANXA5 ARG2 BTG1 CCND2 CD14 CKAP4 COCH CXCL8 DEGS1 DLK1 DPYSL2 DUSP10 FADS1 FCGBP FCN1 GOLGA8A GPATCH8 GPX2 ITM2A KDM3A MATN2 MEX3C PCDH9 PEG3 PIP SPON2 TGFBI TGFBR2 TIPARP TRIM29 TSPO UCHL1 ZIC1 ACD ATP9A CA2 CCND1 CNOT4 COL3A1 DNAJA3 FOS HIST1H1C HIST1H2BD HIST1H2BK HIST1H3H HMOX2 HNMT HOXB2 KAZN KRT6B LAPTM4B LMO3 MPO NPR3 PXDN RFTN1 RGS4 S100A2 SFTPB SFTPC SLC15A2 SLC1A1 SLC39A8 TNS3 TPD52L1 TRD WNT5A	70	System of unrelated proteins						
L1000	BRD-A43150328_PENICILLIC ACID_MCF7_6.0_h_10.0_um	ABHD4 ADM AKR1B10 AKR1C1 C1QB CD163 CEACAM6 GCLM HBEGF HMOX1 LAMP3 NQO1 PLIN2 PTGES TRIM16 TSKU TXNRD1 ALB ALDOB CDK4 CXCL9 HMG20B ITGB1BP1 MT1F MT2A NR2F1 ORM1 PEG10 POSTN SULF1 TFAP2B TIMP1 TNS3 VTCN1	34	System of unrelated proteins						
NeST	Cluster1-10	CTRL HSD17B14 KIAA0232 PAQR8 PLA2G1B RNF145 SGMS1 SLC7A8 TBC1D12 TMCC1 UBE2Q2 WDR47	12	Lipid Metabolism and Membrane Dynamics	membrane lipid metabolic process	GO:0006643	HEXA HEXB PPM1L SMPD1 CERKL PIGZ CYP1B1 NEU4 SGPP1 PIGL PGAP4 PIGP B4GALT3 GLA PGAP3 FUT5 PIGN GLB1 PPT1 ORMDL1 GAL3ST3 NEU2 ST6GALNAC4 CCN1 VAPA PNLIPRP2 CLN6 CWH43 PLA2G15 PIGO HACD4 GALC SFTPB SERINC1 SIRT3 A4GALT ELOVL1 DPM2 ELOVL3 B4GALT4 AGK MGST2 FA2H FUT7 SPHK1 DPM1 CERK LARGE1 ELOVL4 CSNK1G2 GBA3 ASAH1 CREM PIGM GPAA1 CPTP SGMS2 ACER2 CERS5 B3GALT4 ST3GAL1 DPM3 PIGW VPS54 TEX2 PRKCD GBA2 NSMAF ASAH2B PLPP2 ST8SIA1 SMPDL3B ST8SIA6 PPP2R1A FUT2 ST3GAL3 SCCPDH GAL3ST2 PLPP3 ASAH2 SUMF1 PIGG PLA2G6 CERS1 PSAP GLTP B3GALT1 CERS3 TM9SF2 ST3GAL6 FADS3 ST8SIA2 SGPP2 ACER1 ALOXE3 PIGU B3GNT5 ST8SIA3 NAAA DEGS1 PRKD2 GPLD1 SPTSSA SPNS2 C20orf173 ENPP2 OSBP MPPE1 ST6GALNAC5 PPP2CA PGAP2 CERS2 CERS4 SAMD8 ALDH3B1 TLCD3B CERT1 PIGT FUT9 SGPL1 ELOVL7 ARV1 GM2A UGCG PRKD1 ELOVL2 CYP4F22 HACD3 ST3GAL5 ENPP7 SPTLC3 ZPBP2 PSAPL1 GAL3ST1 ORMDL2 PIGY NAGLU ST6GALNAC6 FUT3 SPTLC1 UGT8 TECR TH SLC30A5 SMPD4 B3GALT2 SPTLC2 NEU3 SPHK2 ACER3 B4GALT6 PIGF ST3GAL2 PIGH ST3GAL4 PLPP1 FUT6 ABCA12 CERS6 LCT SMPDL3A PIGB ABCA2 ST8SIA5 CLN8 ABCA8 KIT A3GALT2 GBA1 NAGA ALOX12B HACD2 ELOVL6 SMPD3 PIGA ELOVL5 PIGV PIGC SMPD2 SPTSSB PIGQ HTRA2 NEU1 B3GALNT1 ITGB8 PIGK ST6GALNAC3 P2RX7 FUCA1 PRKAA1 ST8SIA4 BAX B4GALNT1 PNPLA1 PIGS P2RX1 HACD1 DEGS2 AGMO KDSR PRKD3 ORMDL3 PEMT GAL3ST4 SGMS1 B4GALT5 PGAP1 GBGT1	208	5.0	0.0228310502283105
NeST	Cluster1-11	LMF1 MFHAS1 MR1 PLA2G1B RASL11A RNF145 SLC2A6 SNX25 SPIRE1 TTPAL USP38 ZYG11B	12	Lipid Metabolism and Membrane Trafficking	membrane lipid metabolic process	GO:0006643	HEXA HEXB PPM1L SMPD1 CERKL PIGZ CYP1B1 NEU4 SGPP1 PIGL PGAP4 PIGP B4GALT3 GLA PGAP3 FUT5 PIGN GLB1 PPT1 ORMDL1 GAL3ST3 NEU2 ST6GALNAC4 CCN1 VAPA PNLIPRP2 CLN6 CWH43 PLA2G15 PIGO HACD4 GALC SFTPB SERINC1 SIRT3 A4GALT ELOVL1 DPM2 ELOVL3 B4GALT4 AGK MGST2 FA2H FUT7 SPHK1 DPM1 CERK LARGE1 ELOVL4 CSNK1G2 GBA3 ASAH1 CREM PIGM GPAA1 CPTP SGMS2 ACER2 CERS5 B3GALT4 ST3GAL1 DPM3 PIGW VPS54 TEX2 PRKCD GBA2 NSMAF ASAH2B PLPP2 ST8SIA1 SMPDL3B ST8SIA6 PPP2R1A FUT2 ST3GAL3 SCCPDH GAL3ST2 PLPP3 ASAH2 SUMF1 PIGG PLA2G6 CERS1 PSAP GLTP B3GALT1 CERS3 TM9SF2 ST3GAL6 FADS3 ST8SIA2 SGPP2 ACER1 ALOXE3 PIGU B3GNT5 ST8SIA3 NAAA DEGS1 PRKD2 GPLD1 SPTSSA SPNS2 C20orf173 ENPP2 OSBP MPPE1 ST6GALNAC5 PPP2CA PGAP2 CERS2 CERS4 SAMD8 ALDH3B1 TLCD3B CERT1 PIGT FUT9 SGPL1 ELOVL7 ARV1 GM2A UGCG PRKD1 ELOVL2 CYP4F22 HACD3 ST3GAL5 ENPP7 SPTLC3 ZPBP2 PSAPL1 GAL3ST1 ORMDL2 PIGY NAGLU ST6GALNAC6 FUT3 SPTLC1 UGT8 TECR TH SLC30A5 SMPD4 B3GALT2 SPTLC2 NEU3 SPHK2 ACER3 B4GALT6 PIGF ST3GAL2 PIGH ST3GAL4 PLPP1 FUT6 ABCA12 CERS6 LCT SMPDL3A PIGB ABCA2 ST8SIA5 CLN8 ABCA8 KIT A3GALT2 GBA1 NAGA ALOX12B HACD2 ELOVL6 SMPD3 PIGA ELOVL5 PIGV PIGC SMPD2 SPTSSB PIGQ HTRA2 NEU1 B3GALNT1 ITGB8 PIGK ST6GALNAC3 P2RX7 FUCA1 PRKAA1 ST8SIA4 BAX B4GALNT1 PNPLA1 PIGS P2RX1 HACD1 DEGS2 AGMO KDSR PRKD3 ORMDL3 PEMT GAL3ST4 SGMS1 B4GALT5 PGAP1 GBGT1	208	5.0	0.022727272727272728
NeST	Cluster1-12	AMY2B CNPY2 EGFL7 LDLR LPL LRP8 LRPAP1 MYLIP PLA2G1B RELN SORL1 VLDLR	12	Lipid Metabolism and Receptor-Mediated Endocytosis	receptor-mediated endocytosis	GO:0006898	EPS15 ANXA2 PICALM LRP3 LRP1 TNK2 WDR54 CXCL16 APOA5 CCL19 SNAP91 FCER2 CACNG8 CUBN MSR1 SGIP1 FCHO2 HGS LMBRD1 DKK1 CLU PICK1 CD63 APOE RNASEK RALB AP2M1 STAB2 DPP4 ANKRD13D CLTA PPT1 EGF AAK1 APELA GRK2 CALCRL RIN3 M6PR APOC2 SCRIB CXCL8 CBL CALY RABEPK RAB21 ADIPOQ FOLR1 DTNBP1 TPCN2 CCDC32 CXCR1 PCSK9 VLDLR CAV2 DRD4 APOC3 ITGB3 APP CLEC9A SCARF1 CD36 CTTN CLTC PDLIM7 NUMB DRD3 ITGA4 RAMP1 LDLRAD3 BICD1 ARHGAP27 SCARB2 IGF2R CAP1 GREM1 CACNG3 FMR1 VAC14 SFRP4 STON1 LRRTM2 EZR ITCH IL4 LYVE1 RSPO1 GH1 STON2 UNC119 PPP3R1 ITSN1 DNAJC6 HSPG2 FNBP1L PLA2R1 GRK3 INSR DNM2 STAB1 CACNG4 CANX LDLRAP1 MAGI2 DRD2 CACNG2 GRIA1 ITGAM FCHSD2 INPP5F PIK3CB TF LRP2 ACHE LMBR1L DLL1 GAK ATAD1 MARCO CLTB CD14 RAC1 ITGAV SCYL2 TMEM108 H1-1 AP2A2 LILRB1 HIP1 RAB31 HTR2B GTF2H2 VTN FLOT1 PROM2 SORL1 MTMR2 EFNB2 RAMP3 B2M PI4KB ARF6 APOC1 ADRB2 CTSL ADRB3 SFTPD DNAJC13 CAV1 LRRTM1 PLCG2 AP2A1 NTF3 ITSN2 AMN HMMR SNX17 TFRC ANKRD13A CD9 LRP6 ITGB2 ARRB2 CACNG5 TBC1D5 MICALL1 LRP1B NEU3 WASL ANGPT1 DNM1 SYNE1 NECAB2 LPAR1 HFE SNX1 SYK PSEN1 HNRNPK AP2S1 SAG RABGEF1 SDCBP ATXN2 DAB2 NEDD4 HIP1R ASGR1 SIGLEC1 ABCA2 WNT3A CXCR2 UBQLN2 SERPINE1 ENTREP1 SLC9B2 ADM SELE HPCA ARF1 MKLN1 FCGR1A GPR107 MRC1 GSG1L DLG4 FCER1G PIP5K1C SMAP1 LDLR ANKRD13B GRB2 ITGB1 RALA CLEC4M STON1-GTF2A1L CCL21 OPHN1 CLTCL1 RAMP2 ACKR3 CD81 NLGN3 FCMR HTR1B VEGFA ARR3 ARC ARRB1 RAB5A PIKFYVE AP1S1 SNCA TFR2 SH3GL3 SNAP25 CAV3 LILRB4 APLN WASF1 SNX9 FCHO1 CACNG7 AP2B1 C3 USH1G LRPAP1 AHI1 CEACAM1 FCGR2B SDC1 DGKD ACE2 BMP2K CLN3 GRK4 DNM3	257	8.0	0.03018867924528302
NeST	Cluster1-13	ACO1 CDKAL1 CDX2 CIAO1 CITED2 FAM96A FAM96B FBXL5 IREB2 KDM5B MAFA MMS19 PCIF1 PDX1 RTEL1 TFAP2C	16	Iron Metabolism and Regulation in Pancreatic Function	multicellular organismal-level iron ion homeostasis	GO:0060586	PICALM HYAL2 HMOX1 FBXL5 EPB42 B2M HAMP HJV CYBRD1 TMPRSS6 IREB2 SOD2 FECH NEO1 NAGLU BTBD9 EIF2AK1 BMP6 RHAG TFR2 SLC11A2 SLC11A1 HFE SLC40A1 EPAS1	25	9.0	0.23076923076923078
