Source	GeneSetID	GeneSetName	GeneList	n_Genes
NeST	Cluster2-114	Cluster2-114	AMPH ATP4A CALB2 CAMKV CNTN1 CPLX2 DCLK1 DCX DNAAF2 DPP6 DPYSL5 EDIL3 ERC2 GNG2 GPM6A GPM6B GRIA2 HPCA HPCAL1 L1CAM LSAMP MAP2 MAPRE3 MAPT NCALD NDRG4 SNAP25 SNAP91 SNCB STX1B SYN1 SYN2 SYP SYT1 SYT5 VSNL1	36
NeST	Cluster2-115	Cluster2-115	BEGAIN CAMSAP2 CEP170 CLASP1 CLIP2 KIFC3 MARCKS NOP10 NT5C TRPV1	10
NeST	Cluster2-116	Cluster2-116	ARR3 FLVCR2 GRID2IP HARBI1 HPDL IFNG LGALSL MANBAL MATN1 MATN4 MFSD12 MRAP2 MS4A4E MTHFR MYBPC3 NFE4 NRSN2 NUDT18 OGFOD3 OPRL1 PLA2G16 PLEKHM1 PXMP4 RAB20 RENBP RGL1 RUNDC1 SEL1L3 SEMA4A SLC2A6 SLC43A2 TANGO2 TMEM171 TNFAIP2 TP53I11 TSTD2 VOPP1 ZBED6CL ZDHHC9	39
NeST	Cluster2-117	Cluster2-117	ANKRD10 APOA2 ARMCX5 ASPHD2 BBS12 C1orf56 C4orf36 C8orf37 C14orf28 C15orf62 CARF CECR2 CYB561A3 CYP4F22 EME2 EML5 FAM102A FAM126B FAM174B FAM218A FAM222B FFAR4 FGD4 GNRHR GPCPD1 GPR88 HS1BP3 NBPF1 NBPF3 OPLAH PGBD3 RNF215 RNLS SLC35A3 TCAIM TMEM110 ZNF605 ZXDA ZXDB	39
NeST	Cluster2-118	Cluster2-118	MAGEL2 SNX5 SNX6 SNX7 WASHC3 WDFY1	6
NeST	Cluster2-119	Cluster2-119	C10orf88 DOCK9 HPRT1 HUS1B MGMT MUTYH PARN RRAD SAPCD1 SLX4IP TDP1 THUMPD1 WDCP ZBTB14	14
NeST	Cluster2-12	Cluster2-12	ARHGAP22 BFSP2 BTN2A1 BTN2A2 C6orf141 CARNS1 CASC10 CBLN3 CD101 CD160 CENPE COL27A1 DEXI EFHD1 ERMN FCRLA FGD6 FRZB GPR37L1 HLF HSF5 IFNB1 IL4 ITGAD KCNN4 KCNS3 KCTD12 KLRG1 LAMC3 LBH LFNG LPAR6 LPCAT4 LRIG3 MANSC1 MBNL1 MBNL2 MBNL3 MFSD7 MPHOSPH9 MSN NFIL3 NINJ2 OGFRL1 P2RY11 P2RY14 PDE4B PLA2G4C PLD4 PLEKHF1 PLEKHH2 PLXNC1 PPP1R3G PROSER2 PTCRA PVRIG RASGEF1A RGS13 RHEBL1 RUBCNL S1PR5 SIPA1L2 SLC16A11 SLC25A42 SLCO1C1 SOD3 SOX8 SSPN ST6GALNAC6 ST8SIA1 STAP1 TANC1 TCF7 TESPA1 TMEM47 TMEM134 TMEM159 TMPRSS3 TNFRSF19 TNFSF15 TNFSF18 TSPAN7 TTC24 TXK VENTX WNT1 ZNF267	87
NeST	Cluster2-120	Cluster2-120	CEP41 DPP4 IQCG ITSN1 NFATC4 PDP1 PIP5K1C PLCD1 RCAN3 SLU7 TRPV6	11
NeST	Cluster2-121	Cluster2-121	KRTAP2-4 KRTAP4-4 KRTAP4-11 KRTAP5-3 KRTAP5-6 KRTAP9-8 KRTAP10-3 KRTAP10-7 LCE3A LCE3B LCE3C LCE4A SSC4D	13
NeST	Cluster2-122	Cluster2-122	ABCA5 ACR ADRA1B AIF1L AIFM2 ALKBH6 ANKRD20A1 ANXA2R ARHGAP22 ARHGAP42 ARID3C ASAH2 ASAH2B AVP BAIAP2L2 BFSP2 C1orf21 C15orf62 CCDC36 CENPE CERS1 CXorf67 DENND2C DEXI EEPD1 FAM78B FAM107A FGF11 FGF12 FMO2 GDF1 HRCT1 HS6ST1 LMBRD1 RNPEPL1 SHANK1 SSTR2 TMEM133	38
NeST	Cluster2-123	Cluster2-123	LYST NRDE2 REN SNRPA1 SNX6 SNX7 SNX12 SORT1 TMEM9 TMEM123 TMEM189 WASHC3 WDFY1	13
NeST	Cluster2-124	Cluster2-124	DHFR2 DPP7 ENOSF1 KIF16B MANEA MBOAT1 MON2 MPHOSPH9 MPND NFATC3 NIPA1 OGFRL1 PHF13 RAPH1 SNCA SNX14 SNX16 STK40 THSD4 TMCO6 TMEM63B TRIM45 TRMT2B TSR2 UBL3 VPS9D1 WDR81 WDR91 ZNF41 ZNF273 ZNF511 ZNF516 ZNF589 ZNF703 ZNF707 ZNF720 ZNF821	37
NeST	Cluster2-125	Cluster2-125	ANO5 B3GALNT2 C12orf76 CPEB2 CYSLTR2 ENOSF1 GH1 GRPR HSD3B7 IFI27L1 ISPD KCNJ13 KCNK5 KIAA0556 KIAA2026 LHB MEGF9 MTMR14 MTSS1 N4BP2L1 NUDT4 PAQR8 PRL SLC2A9 SLC7A8 SLC9A8 SLC24A1 SLC35A3 SMIM15 THEM5 TMEM127 TSTD2 ZC3H12C ZNF484 ZNF641 ZNF788	36
NeST	Cluster2-126	Cluster2-126	ACVR1B ACVR1C ACVR2A ARHGAP29 C17orf53 C18orf54 CCDC28B CERK CLEC1A CNGB1 DCAF17 DNAJC27 GDF11 NBL1 SYNJ2BP TWSG1	16
NeST	Cluster2-127	Cluster2-127	C1orf204 C17orf64 CBLN2 CLUL1 EFCAB8 FAM169A GH1 GLIPR1L2 GREM2 GRPR KCNJ13 KCNK5 KCNT2 KEL KIAA0825 KRT222 MEGF9 MIPOL1 MTSS1 PCDH8 PCDH9 PLCH1 PPIP5K1 RNF212 RPH3AL SLC26A7 SLCO3A1 SMIM13 SPATA9 ST6GALNAC2 ST6GALNAC4 STK32B TMEM108 TMEM150C UTS2B	35
NeST	Cluster2-128	Cluster2-128	ALG1L2 ALLC ANKRD20A1 ANKRD31 ANO4 APOA4 COL20A1 FOXI2 GPR142 HRH4 IGSF5 IL13RA2 INHBB KCNMB2 KLHL32 KRT24 LRRTM3 MEGF11 MYO3A NOTUM NOXRED1 NRG4 NUP210L PKIB PLA2G4F PLK5 POU5F2 PROK1 RNASE13 SLC4A10 SNX31 TMPRSS11E TNR ZDHHC11 ZMAT4	35
NeST	Cluster2-129	Cluster2-129	AMER3 C12orf42 C14orf180 C21orf62 CACNA1I CCDC33 CEACAM18 DCHS2 DND1 EFCAB5 FADS6 FAM71F1 FAM135B FAM166A GRM4 GRM5 HFE IQCE IRGM KCNK17 KCNT1 LINGO3 MSANTD1 NAALADL1 PSD PXT1 SCN2B SHISA7 SLC8A2 SLC17A9 SLC22A5 SLC35D2 TGM4 TVP23A UGT3A1	35
NeST	Cluster2-13	Cluster2-13	ARID5B ARMC9 ATP10D BBX BHLHE41 CALHM2 CD99L2 CPQ DLC1 DNAJC18 DOK5 DTX3 EDIL3 EDN2 EDNRA EDNRB GPRASP1 GPRASP2 GRASP H6PD HDHD3 IGF2 IGFBP5 IGFBP6 ITGA9 LRRC4C MAGEL2 NTRK3 PAPPA PHLDA2 PLSCR4 POPDC2 SCARA3 SCARF1 SCARF2 TNS2 TPST1 TRO TUB	39
NeST	Cluster2-130	Cluster2-130	DSG4 GJA3 HEPHL1 HOXC13 KRT37 KRT40 KRT73 KRT74 KRT83 KRTAP11-1 LY6G6D OXCT1 OXCT2 PADI3 PSORS1C2 S100A3	16
NeST	Cluster2-131	Cluster2-131	BRSK1 BRSK2 CDK3 CLK1 CLK4 HIPK1 HIPK2 HIPK3 ICK KLF12 MAK MAP2K2 MAPK7 MAPK11 MAPK12 MAPK13 PAN3 PIM1 PIM2 PIM3 PRKACB PRKCA PRKCB PRKCE PRKCG PTPRR SGK1 SGK2 SGK3 STK16 STK24 STK38 STK38L TCP11L2	34
NeST	Cluster2-132	Cluster2-132	AATK CIPC CLOCK CNST CSRNP1 GYG1 GYG2 GYS1 LMTK2 PEAK1 PHACTR1 PHACTR3 PPP1R3C PPP1R10 PPP1R11 PPP1R13L PPP1R15A PPP1R37 SH3RF2 SHOC2 TOX4 TPRN UGP2 ZFYVE9 ZFYVE16	25
NeST	Cluster2-133	Cluster2-133	ACCS AMY1B APOA5 ARSI ATOH8 B3GALT2 C1orf168 C19orf73 CCDC125 CES4A CHST5 CTRL CXorf23 CYP3A43 DGCR6 ENTPD3 ENTPD8 EPB41L4A FAR2 FLRT3 GCNT3 GPR68 HAPLN4 MFSD2A NAA60 PDLIM2 SULT1A1 SULT1A2 SULT1A3 SULT1A4 SULT1C2 SULT1C4 TMEM56 TMEM220	34
NeST	Cluster2-134	Cluster2-134	ABHD13 APLF APTX ATP23 CETN2 CHD1L EHF GADD45G H2AFY H2AFY2 HAP1 HPF1 IFFO2 LIG4 MACROD1 NHEJ1 NSUN6 PARP3 PGBD4 PURB TTC5 XPC XRCC4	23
NeST	Cluster2-135	Cluster2-135	ALKBH7 ATP5E ATP5J2 C19orf43 C19orf53 COX5B COX7C MRPL27 MRPL43 MRPL51 MRPL52 MRPL54 NDUFA2 NDUFA11 NDUFA13 NDUFB2 NDUFB8 NEDD8 NGDN NOP10 PSMA4 PSMA7 ROMO1 RPL11 RPL18A RPL24 RPL35A SNRPB SNRPC SRP14 UBL5 UQCR11 WDR83OS	33
NeST	Cluster2-136	Cluster2-136	ABCD4 ANKMY1 ARG2 BRICD5 C1orf74 C14orf79 C16orf74 CCSAP DAB2 ERI2 ERMARD FAM173B FBF1 FBXO16 GIN1 HN1 JPH1 MAGEF1 MMP15 NPHP3 PDIK1L PWWP2B SLC35F2 SLCO4A1 SUN1 ULK3 ZNF26 ZNF33A ZNF33B ZNF138 ZNF518A ZNF672 ZSWIM1	33
NeST	Cluster2-137	Cluster2-137	ABCC3 ACR AIF1L APCDD1 ARHGEF40 ASPA AVP BTNL9 C11orf24 CD46 CHST12 CLDN11 CLDN23 ELAC1 F8A1 FAM53B FAM171A1 GABRE GATSL2 GPR146 GVQW1 HCAR2 HCAR3 LMBRD1 PLEKHF1 PPIC SHISA4 SLC27A4 STS TMEM158 TMEM164 TSPAN4 VSIG10	33
NeST	Cluster2-138	Cluster2-138	AKNAD1 ATP4B BAIAP2L2 BTNL8 C1QL2 C6orf201 C9orf84 CALHM3 CAPN8 CCIN CCL27 CNNM1 CYP4B1 DIRAS2 EDN2 FATE1 FBXO24 GCNT3 GIF GLRA1 GLRA2 GLRA3 GLRB HCAR1 HES7 LIPF LPCAT4 NAA60 PGA3 PGC POLR2J2 SCGB3A1 ZBTB41	33
NeST	Cluster2-139	Cluster2-139	ACBD6 ACRV1 ACYP1 C4orf48 CAMTA1 CCDC85B CTRL EPG5 GPR75 HIST1H2AH HIST1H2AI HIST1H2BH HIST1H3F HIST1H4A HIST1H4K HIST3H2A NRM NUDT3 OGFOD2 PRR22 PUSL1 QPCTL RCCD1 SNX22 ST20 SYCE1L TCTEX1D2 TMSB15B TOX TOX2 ZNF236 ZNF726	32
NeST	Cluster2-140	Cluster2-140	KLHL14 MBD6 RILP SPAG1 SPG21 STRADA TNFAIP8L1 TOR1A TOR1AIP1 TOR1AIP2 TOR1B TRIM8	12
NeST	Cluster2-141	Cluster2-141	ABL2 BLNK CD2AP FNBP1 FNBP1L FRK GAS7 GCNT1 NCK1 NCK2 PEX13 RIN1 SH3KBP1 SH3YL1 SHB SLC2A1 SLC2A4 SMPDL3B SORBS2 SORBS3 SRC SRCIN1 STAM STAM2 SYNJ2 TRIP10 UNC50 VAV2 VAV3 WASL WIPF3 YES1	32
NeST	Cluster2-142	Cluster2-142	FMN1 HPS1 HS6ST1 IPPK KCNS1 KIAA1161 KPTN LRRC42 MEGF9 MFSD9 NIPAL3 NR1H4 NUDT22 PDP2 PIGW PPIP5K1 RNASEL RNF44 RNF121 SCAPER SFT2D1 SLC9A7 SLC18B1 SLC35A4 SLC39A9 SNX30 SOCS4 SPIDR ZFYVE1 ZNF2 ZNF513	31
NeST	Cluster2-143	Cluster2-143	ABHD16B CUZD1 DGCR6 FAM24B HIST1H2AI HIST1H2AM HIST1H3F HIST1H4A HIST1H4K ITGAE ITPRIPL1 MAMDC4 ME3 NUDT3 OCLM PRR22 PTMS QPCTL RHBDD3 RNFT2 SLC29A2 ST20 SYCE1L TCTEX1D2 TMEM138 TMEM183A TMEM243 TMSB15B TP53I13 ZNF236 ZNRF1	31
NeST	Cluster2-144	Cluster2-144	KDM7A MANEA MFSD14A MIEF2 MPND NAXD NIPA1 PHF13 PLEKHA8 POLM PPP1R14C PSD3 RNASE4 SAMD8 SIDT2 SLC41A2 SNCA STARD10 STK19 TDRKH THEM4 THSD4 TMEM53 TMEM181 TTC13 UAP1L1 UBL3 ULK3 ZNF589 ZNF720 ZNF786	31
NeST	Cluster2-145	Cluster2-145	AAED1 ABCC10 ABRACL ACER3 ACTR3C AGA APH1B APOA1 C5orf51 CHIC2 DDHD1 DHRS9 EXTL3 FAM219B FKRP KIF16B LACC1 MAP4 MSANTD3 NXT2 PANX1 PRCP RTCA SLC4A7 SLC43A3 STIM1 STIM2 SUSD1 SZRD1 TMEM127 TYW3	31
NeST	Cluster2-146	Cluster2-146	BBC3 CC2D1A PMAIP1	3
NeST	Cluster2-147	Cluster2-147	BTBD2 CUL4B DCAF6 DCAF10 DCAF11 DCAF16 FNIP1 HSP90AA1 MDM2 RNF7 SENP3 TNF UBXN1 UBXN7 ZER1	15
NeST	Cluster2-148	Cluster2-148	ARHGAP21 CDC27 CTNNA2 HDAC1 SOX2 USP7	6
NeST	Cluster2-149	Cluster2-149	BAALC HRH3 IFNG KCNS2 LOXHD1 MAB21L3 MADCAM1 MS4A4E NPIPA3 NT5M OIT3 PADI1 PNLDC1 PRRT4 SCTR SHISA2 SIRPD SLC30A3 SLC39A12 SLCO4C1 SPINK1 TBC1D26 TBX1 TLL2 TMC3 TMEM74B TMEM233 ULK4 WISP3 ZDHHC19	30
NeST	Cluster2-150	Cluster2-150	AR BCL6 HDAC1 HDAC2 HDAC4 HDAC5 HDAC7 PPARG RELA RUNX1T1 SIN3A SKI YY1	13
NeST	Cluster2-151	Cluster2-151	ATF1 ATF4 BATF CEBPG CLIP1 CREB1 CREM DDIT3 GABBR1 GABBR2 GOLGA1 JAKMIP1 JDP2 MAZ POU6F1 UTF1	16
NeST	Cluster2-152	Cluster2-152	CCK CCKBR CDH16 DPP10 DRP2 KCNJ9 LGI1 PORCN PROCA1 PRX RNF182 SHD USP53 WDR31 WDTC1 ZBTB46	16
NeST	Cluster2-153	Cluster2-153	CDCA5 DNMT1 FANCD2 KIFC1 ORC1 POLH RAD18 REV3L RFC4 RPA1 SMC2 TERT TIMELESS TNF USP7	15
NeST	Cluster2-154	Cluster2-154	AR ATF4 CCNA2 CHD4 CREB1 CREBBP CTNNB1 DAXX EP300 IRF3 KAT5 MECP2 MYB PML PPARG RB1 RBL1 REL SIN3A SMAD2 SMARCA5 SRCAP TGS1 UBTF YY1	25
NeST	Cluster2-155	Cluster2-155	GTF3C3 MSI2 PABPC1 PABPC4 PAPOLG PPP1CC RANGAP1 RPL4 TERT WWOX ZC3H3	11
NeST	Cluster2-156	Cluster2-156	ACER3 CERS2 CERS4 CERS5 CERS6 FA2H PFDN2 SLC36A1	8
NeST	Cluster2-157	Cluster2-157	ARL17B C16orf95 DLL3 FAM72C MIXL1 NIPA2 NT5DC2 PET117 PI4K2B PLAGL2 PPIP5K1 PUS3 SLC9A3 TERT TIFA TMEM69 TMEM241 TRMT10A TRNT1 ZCCHC10 ZCCHC11 ZNF587B ZNF736 ZNF783 ZNF852 ZNF888 ZRANB3 ZYG11A	28
NeST	Cluster2-158	Cluster2-158	ARL17B C16orf95 CCDC85B DGKH FAM72C FAM156B ITGA8 MAGEH1 MARCH8 MIXL1 NBPF9 NBPF12 NBPF15 NBPF20 NPNT PET117 PLCE1 PUS3 SCARB1 TERT TIFA USP24 ZBTB43 ZCCHC11 ZNF587B ZNF736 ZNF783 ZNF852	28
NeST	Cluster2-159	Cluster2-159	ACTB ACTG1 ATP6V1B2 CKAP5 EEF1A1 EML1 HDAC6 HSPA1B MAPRE1 PSMD1 TNF TUBB3	12
NeST	Cluster2-160	Cluster2-160	AATK C2orf74 C20orf27 CBARP CCDC85B CNST CSRNP1 CSRNP2 ERBIN GYG1 GYS1 LMTK2 NHLRC1 NNAT PHACTR3 PPP1R3B PPP1R3C PPP1R11 PPP1R37 SNCAIP ZFYVE9 ZFYVE16	22
NeST	Cluster2-161	Cluster2-161	ACVR2A ACVR2B AHSA1 ARAF CDC37L1 CHORDC1 HGH1 HSPA4 LRRK2 RAF1 TOMM34	11
NeST	Cluster2-162	Cluster2-162	ADORA2A ALPL ARR3 CA8 CLEC4G CRABP2 FAM193B GLG1 IFNG IL15RA MS4A4E NFE4 NINJ2 NRSN2 PATL2 PLA2G16 PLEKHM1 PTGES QPRT STEAP1 STEAP1B TACR2 TNFAIP2 WDR45B ZCCHC12 ZNF316	26
NeST	Cluster2-163	Cluster2-163	ABLIM3 ARID5A CITED1 EFHD1 ISL2 KIAA1671 KRT7 LMO1 LOXL4 MGMT MISP NHLH1 PPARGC1B RLIM SCIN SSBP4 TAL1 TUBB1	18
NeST	Cluster2-164	Cluster2-164	ALDOA ALDOC EEF1A2 GAPDHS GPI ISYNA1 LDHA LDHB LDHC MPI PGAM1 PGAM4 PGD TALDO1	14
NeST	Cluster2-165	Cluster2-165	ATF3 ATF4 BRCA1 CHD3 CHEK1 CREB1 EP300 HDAC1 IKZF1 JUN KAT2B KAT5 MDM2 MTA2 NFATC1 NFATC2 PARP1 PML SATB1 SIN3A SIRT1 SMARCA4 TP53 UBC UBE2I	25
