,GO,Genes,Gene_Count,Term_Description
22,GO:0019207,PDE8A PIK3R2 NPM1 TAOK2 ELP4 MAP3K13 DUS2 RGCC CCNB3 SOCS1 CIB1 YWHAG ITPRIP BCCIP TCL1B GMFB RHEB GCKR CCNL1 TOPBP1 DELE1 SPRY4 BCL10 PKIG MARK2 ERBB3 AHSG ANKRD54 GPRC5D SMCR8 WNK1 GREM1 CASP3 PKIA CEP43 TGFA SLA2 CNPPD1 CALM1 CCNB2 QARS1 SNCA NCK1 WASHC1 HEXIM2 CCND1 RACK1 NCKAP1L VEGFA SPRED2 CDKN1C PIK3IP1 IRS2 CAB39L CDKN2A CCNQ MOB2 HYAL2 CDC37 GPRC5B IBTK AFAP1L2 CDKN2B BTC TAB1 SLC27A1 CDKN1B CDK5R1 RPLP1 TREM2 STK11 SPDYA IQGAP1 STRADB CCNB1 DDX3X EPO CCNK PRKD1 CAMK2N2 IRGM WARS1 CCND2 PIK3R3 LAMTOR3 RAC2 IL6ST PIK3R1 GCN1 AGAP2 AKT1S1 EGFR PRKAG1 CCNJ CHP1 PIK3R6 CCNF CD24 KAT2B PRKAG2 DAB2IP HEXIM1 HSPB1 TOM1L1 CCNG1 TAOK1 PPP1R1B GSTP1 DAXX SOCS2 PRKAG3 P3R3URF CDK4 ERCC6 SOCS6 CALM2 PIK3CA CDKN2C CCNE1 MAP2K2 MOB1A CISH CCNT1 CCNA2 APC PARP8 CDK5R2 ALK CCNL2 CCKBR CDKN1A STAP1 CDKN2D HSP90AB1 CAMK2N1 CCNE2 IL2 PARP6 DBF4 MBIP GHRL DEPTOR MNAT1 CCNY TRIB2 STRADA PRKRIP1 CCNI ABI1 ATG13 RICTOR SFN CXCL10 SH3BP5L TCL1A SOCS4 AKT1 CCNH SPRY2 SOCS3 GRM5 CCNC PKIB PAK2 PRKAR2A PRKAR1B TAOK3 ACSL1 CSNK2B NRG1 CCNP TRIB3 DAZAP2 ELP3 CAB39 EREG CIT ALKAL1 NRG3 CCND3 MT3 CCNI2 PRKAR1A MACROH2A1 GMFG MOB3B CKS2 NEK9 GSKIP LTF ETAA1 GPRC5C CCNJL FLT3 SPRED1 LTK ALS2 MLST8 SOCS5 TESC CALM3 EFNA5 MALT1 MADD EPGN RHOH SH3BP5 WDR91 ATG14 HTR2A CD40LG STK3 PIK3R5 CCL5 MTCP1 MAP3K12 MOB3A CCNG2 DBF4B PRKAR2B EGF SOCS7 FAM20A WNT11 CCDC88A CCNO INKA1 AREG INKA2 LRP6 CCNYL1 CAV1 LILRB4 PARVA CKS1B RPTOR ANGPT4 TGFBR2 LYN RUBCN MOB1B DNAJC3 MAP2K1 MOB3C SMO TRIB1 FAF1 MAP3K20 DUSP19 INCA1 HBEGF WDR81 PARP16 ALKAL2 IGF2 CCNT2 GPRC5A YWHAB ACVR2B DGKQ CCNA1 KIDINS220 ADIPOQ BMP2 MAPK8IP1 STK4,266,kinase regulator activity
23,GO:0047676,ACSL3 ACSBG2 ACSL6 SLC27A3 SLC27A4 SLC27A6 ACSL4 SLC27A2 ACSL5 ACSL1 SLC27A1,11,arachidonate-CoA ligase activity
24,GO:0008458,CPT2 CRAT CROT,3,carnitine O-octanoyltransferase activity
25,GO:0000048,GGT1 GGT5,2,peptidyltransferase activity
26,GO:0031490,CLOCK H1-6 ATRX H2AC16 HNRNPU HMGN2 FOXO3 NR1H3 H1-0 SBNO2 SMARCE1 WBP2NL EZH2 NR1H2 ZIC2 H2AC19 MBD2 H3-3A H2AC14 H1-3 H2AC8 H2AJ UTY SMARCC1 RBBP4 TOX2 GRHL3 CEBPA PRDM14 H2AC21 GATA1 SMARCD2 ACTL6A KDM4D DHX9 RUNX2 SMARCB1 EOMES THRB CHD4 CTCFL H1-8 H1-2 H2AB1 H2AC1 H1-7 GATAD2B H2AC25 NOTCH1 MYOD1 CREBBP HMGA2 H2AZ2 H2AB2 RARA SRF H2AC6 SBNO1 ACTN4 SMAD3 HR TOX4 H2AC20 WBP2 HMGN3 KDM6B AHDC1 RELA JMJD1C H2AC18 H2AC11 KDM3A KDM3B RCC1 ZFX CEBPB HNRNPC SMARCC2 GRHL1 KLF4 H2AC4 H3-3B MED1 MACROH2A2 MYOG H2AC17 MTA2 SMARCA4 H3-5 APEX1 FOXO1 VAX1 SUZ12 HDAC3 FOXC2 H2AC15 H1-1 ACTB HDAC1 MBD3 NEUROG3 MACROH2A1 GRHL2 H2AP H2AC7 TOX3 VAX2 HDAC2 CTCF SIRT6 KDM5A H1-5 BCL6 H2AC12 HMGN1 TOX REPIN1 BAP1 PAX6 H2AB3 POLE3 H2AZ1 H2AC13 RUVBL2 PER1 ZNF276 TBR1 INSM1 EP300 OGT MECP2 ATOH1 HMGN4 H1-4 NKAP PPARGC1A H1-10 HMGN5 THRA STAT3 H2AX HSF1 KDM6A,143,chromatin DNA binding
27,GO:0004771,NCEH1 LCAT LIPE LIPA CES1 LDAH,6,sterol esterase activity
28,GO:0004551,NUDT13 CILP CILP2 ENPP1 NUDT12 NUDT17 ENPP5 NUDT6,8,dinucleotide phosphatase activity
29,GO:0033549,DUSP18 DUSP5 DUSP2 DUSP9 DUSP26 DUSP1 DUSP7 DUSP14 DUSP21 DUSP6 DUSP3 DUSP29 DUSP8 DUSP16 STYXL2 DUSP13B DUSP10 DUSP4,18,MAP kinase phosphatase activity
30,GO:0042054,PRDM7 SMYD2 DOT1L SETD1A MECOM SETBP1 KMT2E NSD2 KMT2D EEF1AKMT1 KMT5B PRDM6 NTMT1 KMT2B NSD1 JARID2 FBL EZH2 PRMT5 ASH1L KMT5A N6AMT1 SETMAR EEF2KMT METTL21A PRDM16 SUV39H2 KMT5C VCPKMT TTLL12 PRDM13 KMT2C NSD3 EHMT2 METTL22 PRMT8 SMYD1 SETD4 PRDM8 PRDM9 SUZ12 SMYD3 EHMT1 PRMT1 PRMT2 EEF1AKMT2 PRMT6 EZH1 SETD3 WDR5 EEF1AKMT3 SETDB2 EED SMYD5 CARM1 ATPSCKMT ANTKMT SETDB1 SETD7 PRMT7 KMT2A PRDM2 SETD2 SETD5 SUV39H1 METTL23,66,histone methyltransferase activity
31,GO:0102391,ACSM1 ACSM2A ACSM4 ACSM2B,4,decanoate-CoA ligase activity
32,GO:0030515,XRCC5 DHX37 HEATR1 PRKDC NUDT16L1 NUDT7 NUDT5 IMP4 NUDT1 TSR1 BYSL RRP9 NHP2 TBL3 NUDT4 NUFIP1 NOP14 UTP6 BMS1 SDE2 DKC1 NOP58 DDX21 NOP10 NOP56 IMP3 UTP25 SNU13 NUDT16 ISG20 WDR3 GAR1,32,snoRNA binding
33,GO:0050613,TM7SF2 LBR,2,delta14-sterol reductase activity
34,GO:0031543,EGLN3 EGLN1 OGFOD1 P3H2 P4HB P4HA3 P4HA2 EGLN2 P3H1 P4HA1 P4HTM P3H3,12,peptidyl-proline dioxygenase activity
35,GO:0008948,ME3 ME1 ME2 FAHD1,4,oxaloacetate decarboxylase activity
36,GO:0120020,NPC2 GRAMD1B ABCG5 GRAMD1A PLTP MTTP ABCG1 APOA5 APOA2 STARD5 APOA4 GRAMD1C APOA1 STARD3 APOE TSPO APOB ABCA1 STARD4 CETP ABCG8 STAR OSBPL2,23,cholesterol transfer activity
37,GO:0016776,NME9 AK5 NME5 NME7 CMPK1 NME1-NME2 NME6 AK8 IP6K2 AK1 CMPK2 NME1 DTYMK DLG2 IP6K3 NME3 AK7 CASK PMVK AK2 NME4 IP6K1 PPIP5K2 AK6 DLG1 PPIP5K1 TJP2 MPP1 LRGUK UAP1 AK9 AK4 GUK1 NME2 MAGI3 CARD11 AK3,37,"phosphotransferase activity, phosphate group as acceptor"
38,GO:0050633,SCP2 ACAA1 HADHB,3,acetyl-CoA C-myristoyltransferase activity
39,GO:0005310,SLC13A5 SLC1A5 SLC1A6 SLC22A6 SLC16A1 SLC26A8 SLC25A10 SLC25A21 SLC25A13 SLC26A5 SLC26A9 SLC13A2 SLC25A11 SLC13A3 SLC26A1 SLC46A1 ABCC2 SLC26A7 UCP2 SLC19A1 SLC26A3 SLC22A7 SLC1A1 SLC25A18 SLC1A4 SLC26A4 SLC26A2 SLC25A22 SLC25A12 SLC26A6,30,dicarboxylic acid transmembrane transporter activity
40,GO:0015225,SLC27A1 SLC5A6 ABCG2,3,biotin transmembrane transporter activity
41,GO:0005528,FKBP1B FKBP7 NFATC1 FKBP6 FKBP5 FKBP10 FKBP4 FKBP3 FKBP2 FKBP1A,10,FK506 binding
42,GO:0050694,GAL3ST4 GAL3ST2 GAL3ST1 GAL3ST3,4,galactose 3-O-sulfotransferase activity
43,GO:2001065,REG4 FCN2,2,mannan binding
44,GO:0031420,DRG1 KCNJ11 CPS1 KCNA4 ACAT1 SCN8A HDAC4 PDXK SLC34A2 CAPN3 SLC6A4 ADPRH ATP4A ATP1A1 ATP1A2 PKM PKLR TDG IMPA1,19,alkali metal ion binding
45,GO:0030369,ITGB2 ITGAL CLEC4M,3,ICAM-3 receptor activity
46,GO:0004966,GAL GALR2 GALR3 GALR1,4,galanin receptor activity
47,GO:0008821,SLX1A EME2 EME1 GEN1 XRCC3 RAD51C TEFM MUS81 SLX1B,9,crossover junction DNA endonuclease activity
48,GO:1990450,IKBKG RNF31 MAP3K7,3,linear polyubiquitin binding
49,GO:0005222,CNGB3 HCN4 HCN2 CNGB1 CNGA1 HCN1 CNGA4 CNGA2 CNGA3,9,intracellular cAMP-activated cation channel activity
50,GO:0050294,SULT2B1 SULT1A1 SULT1E1 SULT2A1,4,steroid sulfotransferase activity
51,GO:0035539,NUDT15 NUDT1,2,"8-oxo-7,8-dihydrodeoxyguanosine triphosphate pyrophosphatase activity"
52,GO:0032050,PICALM SNAP91 TOM1 GPR107 LRP1 LDLR CEMIP CLTB CLTA LMBRD1,10,clathrin heavy chain binding
53,GO:0099589,HTR3C HTR3B HTR3D HTR3A HTR4 HTR3E,6,serotonin receptor activity
54,GO:0008459,CHST7 CHST3,2,chondroitin 6-sulfotransferase activity
55,GO:0047196,AWAT1 AWAT2,2,long-chain-alcohol O-fatty-acyltransferase activity
56,GO:0017025,AHR HHEX TAF1B GTF2A2 RUVBL2 YEATS2 TAF11 TAF1L TAF12 GTF2A1 ESR1 CAND2 BRF2 DRAP1 NR3C1 DR1 BRF1 RUVBL1 TAF1 CAND1 GTF2B BTAF1 THRA NR3C2 TAF13,25,TBP-class protein binding
57,GO:0033829,MFNG LFNG RFNG,3,O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity
58,GO:0008239,DPP8 DPP3 DPP9 DPP10 PRCP NAALAD2 DPP4 DPP6 DPP7 PRSS16 FAP CTSC,12,dipeptidyl-peptidase activity
59,GO:0004849,UCKL1 UCK2 CMPK1 UCK1,4,uridine kinase activity
60,GO:0033040,PKD1L3 PKD2L1,2,sour taste receptor activity
61,GO:0003948,ASRGL1 AGA,2,N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity
62,GO:0015193,SLC6A7 SLC36A4 SLC1A4 SLC36A1 SLC36A3 SLC6A20 SLC36A2,7,L-proline transmembrane transporter activity
63,GO:0016706,KDM5A RIOX2 KDM4C KDM5D ALKBH4 KDM4E P4HA2 EGLN2 P3H1 KDM4B HSPBAP1 ALKBH3 P4HA1 ALKBH2 TMLHE P4HB PLOD1 JMJD7 JMJD4 RSBN1 KDM8 P3H3 ALKBH5 EGLN3 P3H2 TET1 ALKBH8 UTY TYW5 OGFOD1 BBOX1 P4HA3 RIOX1 HIF1AN TET3 ALKBH1 KDM7A JMJD6 PHYHD1 ASPH KDM2A HR KDM5B P4HTM PHYH KDM2B KDM6B EGLN1 PLOD2 PHF8 TET2 PHF2 KDM4A FTO KDM5C KDM3A KDM4D KDM3B KDM6A PLOD3,60,2-oxoglutarate-dependent dioxygenase activity
64,GO:0038191,PXN SEMA3A ABL1 TAOK2,4,neuropilin binding
65,GO:0009007,N6AMT1 METTL4,2,site-specific DNA-methyltransferase (adenine-specific) activity
66,GO:0097472,CDK11A CDK10 CDK5 MOK CCNK CDKL3 CDK7 CDK12 CDK8 CDK14 CDK16 CDK17 CDKL4 CDK2 CDK6 CDK11B CDK19 CDK15 CDK13 CDKL2 CDK1 CCND3 CDK3 CDK4 CDKL5 CDK18 CDKL1 CDK20 CDK9,29,cyclin-dependent protein kinase activity
