,GO,Genes,Gene_Count,Term_Description
10,GO:0016342,CDH6 CDH9 CDH15 CDH23 CDH7 JUP CTNNA2 CDH3 CDH5 CDH8 APC2 CDH17 DCHS1 CDH22 CTNNB1 CDH20 CDH24 CDH18 CDH13 CDH19 CDH2 CDH4 CDH12 CDH26 CTNND1 CDH1 APC CTNNA1 CDH11 CDH10 CDHR3,31,catenin complex
11,GO:0030673,ADORA2A KCNJ11 THY1 SLC1A2 ROBO2 MAPT CNTNAP2 MYO1D ANK1 ADORA1 KCNC1 EPB41L3 KCNC2 GABBR1 SPTBN1,15,axolemma
12,GO:0070369,CTNNB1 TCF4 TCF7L2,3,beta-catenin-TCF7L2 complex
13,GO:0098857,PECAM1 PRNP ABCB4 RAP2B NTSR1 ADD2 DAG1 ADRA1B PTGS2 CDH15 SRC CLN3 MALL SLC22A6 CNR1 ITGB2 SULF1 BCL10 IGF1R FURIN F2R OLR1 ACE2 LYPD4 RTN4RL1 CXADR STOML1 CAVIN4 ADTRP MAPK1 ADGRG1 SYNJ2 ANXA2 PDPN ADCY8 HK1 ITLN1 CD320 NOS1 SLC6A4 RAB5A ERLIN1 PARK7 INSR MLC1 GASK1A CTNNB1 BST2 NEU3 LIPE PAG1 PIKFYVE CD36 TNF ADAM17 HYAL2 DLG1 TEX101 GP2 ATP1A2 SMURF2 MYADM SELE ASAH2 CRIPTO STOML2 PPP2CA CAVIN2 FASLG SCN5A ABCA1 SGCA LAT GPC1 LYPD6 NFAM1 TNFRSF11A CR1 ORAI1 CBL ATP1A4 CTNNA1 FAIM2 TREM2 PPT1 TLR2 CBLB HDAC6 LRRK2 GJA1 MAG STOM STX12 RTN4R NOS3 LAMP2 CAVIN3 TNR PRTN3 KCNMA1 EMP2 FLOT1 RIT2 SKAP1 FXYD1 ARID3C KIRREL1 KCNQ1 CD226 RANGRF MYOF LCP2 EGFR IL6ST RGMB CHP1 ADRA1A RHOQ CD24 PLSCR1 S1PR1 EZR PRKACA LY6K EEIG1 IRS1 ATP5F1A ABCG2 SLC39A6 CD4 CDH13 AHNAK DLC1 SHH CD19 ITGB1 FYN GPM6B PPP2R1B GLIPR1L1 CHRNA7 NPC1 SLC1A1 AKAP6 CARD11 CHRNA3 CAPN2 RTN4RL2 EFHD2 PGK1 CD55 CORO1C UNC5B STOML3 APP STIM1 TRPM8 TGFBR1 PLPP2 SCARB1 SDCBP PSEN1 PLPP3 TFPI EPHB1 PROM2 PLVAP PI4K2A IKBKB LRP8 KCNE3 MYO1C CD1A BACE1 HAS2 SLC9A1 KCNA3 LAMTOR1 JAK2 SLC2A1 TNFRSF1A THY1 SLC1A2 LAX1 DLL1 MAPT ANGPT1 CD8A PRKAR2A S100A10 CTSD TLR6 MYO1A ARC MAL PTPRC PLPP1 LCK ADCY2 CD14 GAB2 ATP1A1 ADCYAP1R1 PRKAR1A SERPINH1 NOS1AP FAS MAL2 ERLIN2 CD79A BTK CBLC SLC6A3 BMPR1A ADCY1 SMPD2 GHSR PODXL EFNB1 SPRED1 BAALC FLOT2 TRAF2 LRP4 TUBB MME TNFRSF1B RAP1B CLIP3 DMD EFNA5 CAV3 PTGIS BVES SORBS1 HPSE BMPR2 HTR2A KCNA5 MS4A1 ATP2B4 CHRNB2 CD48 CLN6 SELPLG TEK RFTN1 TRPC4 TPP1 PTCH1 LRP6 DPP4 MFAP3 TLR1 PLCG2 HCK AKAP5 CAV1 GP6 CAV2 SLC2A4 INPP5D ARID3A LDHB LAT2 CAVIN1 TNFRSF10A LYN TGFBR2 ITGAM SMO NPHS2 EHD2 CD177 KIF18A FYB2 ZAP70 VDAC1 CDH2 KDR PACSIN2 MS4A4A CDH1 UNC5A KCND2 KCNE1 MAPK3 ICAM1,288,membrane microdomain
14,GO:0033553,SIRT1 RRP8 NOP53 BAZ2A SUV39H1,5,rDNA heterochromatin
15,GO:0043679,GPER1 ADRA2A CLCN3 SEPTIN6 PRNP NTSR1 UNC13C ATP6V0D1 FLRT3 KCNA2 TSPOAP1 TNN SNCG P2RX4 SLC4A10 CDH8 TBC1D24 SLC18A1 RAB5A SNCA CAD SLC32A1 UCN PENK SYNJ1 CPLX4 OPRD1 GIT1 CALB1 SLC8A2 PRKCB ELK1 BIN1 OPHN1 LRRK2 TANC1 DRD2 CALCA ADORA1 KCNC1 CHRM2 NPFF UCN3 SYP GRIK2 SLC4A8 UNC13A KCNC3 GHRH ITGA2 AP3D1 AAK1 SLC8A3 CASR CALB2 SLC18A2 KCNC2 PDYN SLC1A1 KCNA6 UNC13B NTRK2 PRSS12 MICAL1 GRIN1 PRRT2 CDHR3 CHRM1 NTS TH CPLX2 KCNA1 BLVRB PCSK1 ROR1 KCNA3 SLC18A3 CPLX3 CNGB1 KCNK2 PACSIN1 SLC17A8 RAB3A ACTB HCN3 CRHR2 SLC6A3 NMU USH2A SLC8A1 PRKCG ACTG1 CPLX1 SCGN FMR1 CRHBP CYFIP1 HTR1B TPRG1L SRSF10 PTPRN OPRK1 KCNQ5 EPHA4 TULP1 PNOC TPBG SNCB CABP4 GAD1 GRIK3 KCNC4,112,axon terminus
16,GO:0031082,DTNBP1 PI4K2A STX12 SNAP47 BLOC1S3 SNAP25 HPS4 KXD1 HPS1 HPS3 BLOC1S6 HPS5 BLOC1S5 WASHC4 BLOC1S1 BLOC1S2 BCAS4 HPS6 BLOC1S4 SNAPIN,20,BLOC complex
17,GO:0031371,UBE2V1 RNF20 UBE2N STUB1 UBE2A UBE2V2 UBE2B RNF40 PEDS1-UBE2V1,9,ubiquitin conjugating enzyme complex
18,GO:0170014,EPB42 GYPA SLC4A1 RHCE AQP1 GYPB RHAG ANK1,8,ankyrin-1 complex
19,GO:0044292,IFT57 IFT52 TAOK2 MAP2 CDKL5 SLC32A1 PTCH1 CYFIP1 SRC HSP90AA1 IFT20 COBL HSP90AB1,13,dendrite terminus
20,GO:0046696,LY96 TRIL TLR4 CD14 HSPD1,5,lipopolysaccharide receptor complex
21,GO:0005610,LAMB3 LAMA5 LAMA3,3,laminin-5 complex
22,GO:0008024,CDK13 SNW1 CDK12 CCNT2 CCNT1 RB1 CCNK CDK9,8,cyclin/CDK positive transcription elongation factor complex
23,GO:0034753,ARNT AHR,2,nuclear aryl hydrocarbon receptor complex
24,GO:0042827,SELENOP TIMP3 SPP2 LAMP2 SERPINA4 CTSW HPS4 ITPR1 LGALS3BP ITIH4 ABCC4 ITIH3 SELP CLEC3B APOH FAM3C ECM1 CD63 CDC37L1 RAB27B RARRES2,21,platelet dense granule
25,GO:0071004,PRPF40A SF3A1 LUC7L3 SNRPN SF3B1 SNRPB SF3A2 LUC7L LUC7L2 LSM7 SNRPC PRPF40B PRPF39 SNRPG U2AF2 SNRNP70,16,U2-type prespliceosome
26,GO:0032591,SHISA6 ATP6AP2 GPER1 SHISA9 TRPV1 DAGLA SHISA7 GRIA1 SHISA8 KCNC3 DDN ITGA8 SLC9A5 PPP1R9B ATP2B2,15,dendritic spine membrane
27,GO:0055087,SKIC8 SKIC2 SKIC3,3,Ski complex
28,GO:0008278,RAD21L1 SMC3 STAG2 REC8 DDX11 SMC1A SMC1B SGO2 RAD21 STAG1 STAG3,11,cohesin complex
29,GO:0032584,NECTIN1 ZFYVE27 FLRT3 EXOC7 EXOC4 LAMP5 GAP43 TRPV2,8,growth cone membrane
30,GO:0016942,IGFALS IGFBP6 IGF1 IGFBP5 IGFBP3,5,insulin-like growth factor binding protein complex
31,GO:0005839,PSMB4 PSMB1 PSMB5 PSMB9 PSMA2 PSMF1 PSMB11 PSMA6 PSMB7 PSMB2 PSMA4 PSMA3 PSMA8 PSMB3 PSMB6 PSMA5 PSMA1 PSMB8 PSMA7 PSMB10,20,proteasome core complex
32,GO:0005762,MRPL27 MRPL54 MRPL36 MRPL53 MRPL23 MRPL44 MRPL39 MRPL4 MRPL46 MRPL55 MRPS30 MRPL43 MRPL1 MRPL42 NSUN4 MRPL33 MRPL28 MRPL49 MRPL21 MRPS18A MRPL34 MRPL50 MRPL38 MRPL13 MRPL22 MRPL48 MRPL32 MPV17L2 MRPL40 MRPL58 MRPL10 MRPL9 MRPL20 MRPL57 MRPL15 MRPL41 MRPL52 MRPL51 MRPL14 MRPL30 MRPL16 MRPL3 MRPL17 MRPL11 NSUN3 MRPL2 MRPL12 GADD45GIP1 MRPL37 MRPL18 MTERF4 MRPL47 MRPL19 MRPL24 MRPL35,55,mitochondrial large ribosomal subunit
33,GO:0060293,TDRD9 DDX3X ANKRD34B TDRD1 DDX3Y SNRPG MOV10L1 CARHSP1 HELZ2 PIWIL1 EXD1 TDRD5 PIWIL3 ANKRD34A TDRD7 DDX4 MOV10 ASZ1 HELZ HENMT1 PIWIL2 MAEL TDRKH ANKRD34C TDRD6 PIWIL4,26,germ plasm
34,GO:0098890,SCRIB AKAP9 CNKSR2 FARP1 CRKL TIAM1 FBXO2 RNF10,8,extrinsic component of postsynaptic membrane
35,GO:0005683,SNRPE SNRPF SNRPB LSM10 SNRPG SNRPD3 LSM11,7,U7 snRNP
36,GO:0030672,ATP6AP2 UNC13C OTOF ATP6V0D1 GRIA1 ATP6V1G2 RAB11B DMXL2 SLC18B1 SYT7 SLC30A3 ATP6V0E2 SV2C ATP6V1G3 SLC18A1 ATP6AP1 DGKI SNCA SYT6 SLC32A1 SYPL1 SLC6A9 SEMA4C ATP6V1G1 OPRD1 STX6 DYSF ATP6V0A1 LAMP5 SNAPIN SYT12 SYN3 BIN1 LRRK2 SLC35G2 PRRT1 DRD2 SYNGR1 SYP BORCS5 MYOF SCAMP5 SLC4A8 UNC13A ATP6V1H GAD2 ATP6V1E1 RAB3B RPH3A RAB7A SYT4 SYNGR2 SLC18A2 SLC35F1 VAMP2 SLC17A6 CLTB SYNGR3 AMPH ATP2B1 UNC13B ICA1 PRRT2 RAB27B SLC35D3 SYNPR SCAMP1 BCL2L1 VAMP1 SLC6A17 SEPTIN8 SV2B SLC18A3 CPLX3 SYNDIG1 FER1L5 SLC17A8 RAB3A DNAJC5 SVOP MAL2 RAB5B GABRA2 STX16 DNM1L ATP6V1F SYN1 RAB3C ATP6V1B2 ATP6V1A SLC17A5 DOC2A ATP6V0C SYNGR4 TMEM163 ATP6V0A4 RAB26 BSN SYT8 ZNRF1 ATP6V1D WFS1 DTNBP1 ABCC8 PTPRN2 STX1A SLC17A7 CLTA ATP8A1 SLC5A7 PHAF1 SYPL2 SYT9 CBARP MCTP2 SLC9B2 ATP6V1C1 TPRG1L OPRK1 ATP6V1B1 SYT1 MCTP1 SYT2 SYN2 SYT5 PTPRS SV2A,127,synaptic vesicle membrane
37,GO:0005893,IL2RA IL2RB,2,interleukin-2 receptor complex
38,GO:0043614,EIF1 EIF3A EIF1AX,3,multi-eIF complex
39,GO:0098888,SNAP25 PICALM SNAP91 STXBP1 DNAJC6 AP2M1,6,extrinsic component of presynaptic membrane
40,GO:1904115,HDAC6 OPA1 SPG7 UCHL1 PAFAH1B1 RANGAP1 DTNBP1 RAB21 AGTPBP1 KIF5B DYNC1H1 SPAST AP3M1 AGBL4 DYNLL1 ARL8A MAP1A HSBP1 BLOC1S3 KIF1B AP3S2 AP3M2 DST KIF5C SOD1 MAPT HAP1 NETO1 SYBU MAPK8IP3 AP3S1 MGARP KIF5A TRAK2 KIF3B NEFL DLG2 AP3D1 KIF1C BLOC1S5 BLOC1S6 KIF3A HIF1A TMEM108 ARMCX3 TERF2 TRAK1 ACTR10 BLOC1S1 KIF4A HSPB1 FBXW11 CALY NDEL1 BLOC1S2 AP3B2 AP3B1 TRIM46 BLOC1S4 ZC3H14 RAB27B KIF1A SNAPIN ARL8B,64,axon cytoplasm
41,GO:0042611,HLA-A HLA-B MR1 HLA-DRB4 HLA-DRB1 B2M HLA-DRB5 HLA-DPB1 HLA-C HLA-G HLA-DMB HFE HLA-DRA HLA-F HLA-DQB1 HLA-DPA1 HLA-DRB3 CD74 HLA-DQA1 HLA-DOA HLA-DOB HLA-E HLA-DQB2 HLA-DQA2,24,MHC protein complex
